timestamp,humidity,pm_10,pm_2_5,temperature,dayofweek,month,day,pm_2_5_lag_1,pm_2_5_lag_2,pm_2_5_lag_3,pm_2_5_lag_4,pm_2_5_lag_5,pm_2_5_lag_6,pm_2_5_lag_7
2023-04-06 13:00:00,58.13112421,15.61016949,14.55932203,43.16945221,3,4,6,14.5,13.96666667,9.816666667,7.833333333,6.237288136,7.366666667,8.75
2023-04-06 16:00:00,63.7097168,18.28333333,16.71666667,32.72981262,3,4,6,16.01666667,15.38333333,14.55932203,14.5,13.96666667,9.816666667,7.833333333
2023-04-06 17:00:00,64.85310872,19.9,18.21666667,35.04995728,3,4,6,16.71666667,16.01666667,15.38333333,14.55932203,14.5,13.96666667,9.816666667
2023-04-06 18:00:00,67.32035319,11.1,10.11666667,31.60691833,3,4,6,18.21666667,16.71666667,16.01666667,15.38333333,14.55932203,14.5,13.96666667
2023-04-06 19:00:00,68.12164307,5.466666667,5.1,29.47879028,3,4,6,10.11666667,18.21666667,16.71666667,16.01666667,15.38333333,14.55932203,14.5
2023-04-06 20:00:00,68.78031413,12.13333333,11.26666667,28.69729614,3,4,6,5.1,10.11666667,18.21666667,16.71666667,16.01666667,15.38333333,14.55932203
2023-04-06 21:00:00,69.37754313,12.08333333,10.9,28.28607178,3,4,6,11.26666667,5.1,10.11666667,18.21666667,16.71666667,16.01666667,15.38333333
2023-04-06 22:00:00,69.95625814,12.30508475,11.37288136,28.14407349,3,4,6,10.9,11.26666667,5.1,10.11666667,18.21666667,16.71666667,16.01666667
2023-04-06 23:00:00,70.28849284,15.01666667,14.11666667,27.90841675,3,4,6,11.37288136,10.9,11.26666667,5.1,10.11666667,18.21666667,16.71666667
2023-04-07 00:00:00,70.80383301,15.05,13.83333333,27.48460388,4,4,7,14.11666667,11.37288136,10.9,11.26666667,5.1,10.11666667,18.21666667
2023-04-07 01:00:00,71.32425944,16.05,14.63333333,27.23535156,4,4,7,13.83333333,14.11666667,11.37288136,10.9,11.26666667,5.1,10.11666667
2023-04-07 02:00:00,71.76462809,19.83333333,17.76666667,27.06800842,4,4,7,14.63333333,13.83333333,14.11666667,11.37288136,10.9,11.26666667,5.1
2023-04-07 03:00:00,72.26510775,14.94915254,13.59322034,27.03295692,4,4,7,17.76666667,14.63333333,13.83333333,14.11666667,11.37288136,10.9,11.26666667
2023-04-07 04:00:00,72.70141602,14.41666667,13.13333333,26.88807678,4,4,7,13.59322034,17.76666667,14.63333333,13.83333333,14.11666667,11.37288136,10.9
2023-04-07 05:00:00,72.98360189,15.58333333,13.76666667,27.11584473,4,4,7,13.13333333,13.59322034,17.76666667,14.63333333,13.83333333,14.11666667,11.37288136
2023-04-07 06:00:00,73.2929484,15.16666667,13.65,27.08227539,4,4,7,13.76666667,13.13333333,13.59322034,17.76666667,14.63333333,13.83333333,14.11666667
2023-04-07 07:00:00,73.58500163,17.66666667,15.8,27.34411621,4,4,7,13.65,13.76666667,13.13333333,13.59322034,17.76666667,14.63333333,13.83333333
